chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,10400000,10450000,10400000,10450000,1
chr21,chr21,10400000,10450000,20300000,20350000,1
chr21,chr21,10500000,10550000,10500000,10550000,1
chr21,chr21,10500000,10550000,20200000,20250000,1
chr21,chr21,10600000,10650000,10600000,10650000,1
chr21,chr21,10600000,10650000,20200000,20250000,1
chr21,chr21,10600000,10650000,40000000,40050000,1
chr21,chr21,10600000,10650000,40500000,40550000,1
chr21,chr21,13250000,13300000,13250000,13300000,1
chr21,chr21,13250000,13300000,14200000,14250000,1
chr21,chr21,13250000,13300000,30850000,30900000,1
chr21,chr21,13250000,13300000,31050000,31100000,1
chr21,chr21,13250000,13300000,39750000,39800000,1
chr21,chr21,14000000,14050000,14000000,14050000,1
chr21,chr21,14050000,14100000,14050000,14100000,1
chr21,chr21,14050000,14100000,14150000,14200000,1
chr21,chr21,14050000,14100000,14550000,14600000,1
chr21,chr21,14050000,14100000,14750000,14800000,1
chr21,chr21,14050000,14100000,14800000,14850000,1
chr21,chr21,14050000,14100000,15150000,15200000,1
chr21,chr21,14050000,14100000,15250000,15300000,1
chr21,chr21,14050000,14100000,15300000,15350000,1
chr21,chr21,14050000,14100000,15400000,15450000,1
chr21,chr21,14050000,14100000,15550000,15600000,1
chr21,chr21,14050000,14100000,18950000,19000000,1
chr21,chr21,14050000,14100000,37850000,37900000,1
chr21,chr21,14100000,14150000,14100000,14150000,1
chr21,chr21,14100000,14150000,34150000,34200000,1
chr21,chr21,14100000,14150000,34200000,34250000,1
chr21,chr21,14150000,14200000,14050000,14100000,1
chr21,chr21,14150000,14200000,14150000,14200000,1
chr21,chr21,14150000,14200000,14750000,14800000,1
chr21,chr21,14150000,14200000,15250000,15300000,1
chr21,chr21,14150000,14200000,15400000,15450000,1
chr21,chr21,14150000,14200000,16700000,16750000,1
chr21,chr21,14150000,14200000,18250000,18300000,1
chr21,chr21,14150000,14200000,18950000,19000000,1
chr21,chr21,14150000,14200000,30900000,30950000,1
chr21,chr21,14200000,14250000,13250000,13300000,1
chr21,chr21,14200000,14250000,14200000,14250000,1
chr21,chr21,14200000,14250000,15800000,15850000,1
chr21,chr21,14200000,14250000,30850000,30900000,1
chr21,chr21,14200000,14250000,31050000,31100000,1
chr21,chr21,14200000,14250000,38500000,38550000,1
chr21,chr21,14200000,14250000,39550000,39600000,1
chr21,chr21,14250000,14300000,14250000,14300000,1
chr21,chr21,14250000,14300000,30650000,30700000,1
chr21,chr21,14250000,14300000,31100000,31150000,1
chr21,chr21,14250000,14300000,37250000,37300000,1
chr21,chr21,14300000,14350000,14300000,14350000,1
chr21,chr21,14300000,14350000,14700000,14750000,1
chr21,chr21,14300000,14350000,15350000,15400000,1
chr21,chr21,14350000,14400000,14350000,14400000,1
chr21,chr21,14350000,14400000,14650000,14700000,1
chr21,chr21,14350000,14400000,15500000,15550000,1
chr21,chr21,14350000,14400000,39150000,39200000,1
chr21,chr21,14400000,14450000,14400000,14450000,1
chr21,chr21,14450000,14500000,14450000,14500000,1
chr21,chr21,14450000,14500000,18250000,18300000,1
chr21,chr21,14500000,14550000,14500000,14550000,1
chr21,chr21,14500000,14550000,14600000,14650000,1
chr21,chr21,14500000,14550000,15650000,15700000,1
chr21,chr21,14500000,14550000,19850000,19900000,1
chr21,chr21,14500000,14550000,30900000,30950000,1
chr21,chr21,14550000,14600000,14050000,14100000,1
chr21,chr21,14550000,14600000,14550000,14600000,1
chr21,chr21,14550000,14600000,14800000,14850000,1
chr21,chr21,14550000,14600000,15150000,15200000,1
chr21,chr21,14550000,14600000,15300000,15350000,1
