chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,28000000,28030000,28000000,28030000,1
chr21,chr21,28000000,28030000,28300000,28330000,1
chr21,chr21,28000000,28030000,28330000,28360000,1
chr21,chr21,28000000,28030000,28570000,28600000,1
chr21,chr21,28000000,28030000,28600000,28630000,1
chr21,chr21,28030000,28060000,28030000,28060000,1
chr21,chr21,28030000,28060000,28750000,28780000,1
chr21,chr21,28060000,28090000,28060000,28090000,1
chr21,chr21,28060000,28090000,28090000,28120000,1
chr21,chr21,28090000,28120000,28060000,28090000,1
chr21,chr21,28090000,28120000,28090000,28120000,1
chr21,chr21,28120000,28150000,28120000,28150000,1
chr21,chr21,28150000,28180000,28150000,28180000,1
chr21,chr21,28150000,28180000,28180000,28210000,1
chr21,chr21,28180000,28210000,28150000,28180000,1
chr21,chr21,28180000,28210000,28180000,28210000,1
chr21,chr21,28210000,28240000,28210000,28240000,1
chr21,chr21,28240000,28270000,28240000,28270000,1
chr21,chr21,28270000,28300000,28270000,28300000,1
chr21,chr21,28300000,28330000,28000000,28030000,1
chr21,chr21,28300000,28330000,28300000,28330000,1
chr21,chr21,28300000,28330000,28330000,28360000,1
chr21,chr21,28300000,28330000,28360000,28390000,1
chr21,chr21,28300000,28330000,28420000,28450000,1
chr21,chr21,28300000,28330000,28540000,28570000,1
chr21,chr21,28300000,28330000,28570000,28600000,1
chr21,chr21,28300000,28330000,28600000,28630000,1
chr21,chr21,28330000,28360000,28000000,28030000,1
chr21,chr21,28330000,28360000,28300000,28330000,1
chr21,chr21,28330000,28360000,28330000,28360000,1
chr21,chr21,28330000,28360000,28360000,28390000,1
chr21,chr21,28330000,28360000,28420000,28450000,1
chr21,chr21,28330000,28360000,28540000,28570000,1
chr21,chr21,28330000,28360000,28570000,28600000,1
chr21,chr21,28330000,28360000,28600000,28630000,1
chr21,chr21,28360000,28390000,28300000,28330000,1
chr21,chr21,28360000,28390000,28330000,28360000,1
chr21,chr21,28360000,28390000,28360000,28390000,1
chr21,chr21,28360000,28390000,28420000,28450000,1
chr21,chr21,28360000,28390000,28540000,28570000,1
chr21,chr21,28360000,28390000,28570000,28600000,1
chr21,chr21,28360000,28390000,28600000,28630000,1
chr21,chr21,28390000,28420000,28390000,28420000,1
chr21,chr21,28390000,28420000,28420000,28450000,1
chr21,chr21,28420000,28450000,28300000,28330000,1
chr21,chr21,28420000,28450000,28330000,28360000,1
chr21,chr21,28420000,28450000,28360000,28390000,1
chr21,chr21,28420000,28450000,28390000,28420000,1
chr21,chr21,28420000,28450000,28420000,28450000,1
chr21,chr21,28420000,28450000,28540000,28570000,1
chr21,chr21,28420000,28450000,28570000,28600000,1
chr21,chr21,28450000,28480000,28450000,28480000,1
chr21,chr21,28450000,28480000,28480000,28510000,1
chr21,chr21,28450000,28480000,28630000,28660000,1
chr21,chr21,28480000,28510000,28450000,28480000,1
chr21,chr21,28480000,28510000,28480000,28510000,1
chr21,chr21,28480000,28510000,28690000,28720000,1
chr21,chr21,28480000,28510000,28720000,28750000,1
chr21,chr21,28510000,28540000,28510000,28540000,1
chr21,chr21,28540000,28570000,28300000,28330000,1
chr21,chr21,28540000,28570000,28330000,28360000,1
chr21,chr21,28540000,28570000,28360000,28390000,1
chr21,chr21,28540000,28570000,28420000,28450000,1
chr21,chr21,28540000,28570000,28540000,28570000,1
chr21,chr21,28540000,28570000,28570000,28600000,1
chr21,chr21,28540000,28570000,28600000,28630000,1
chr21,chr21,28540000,28570000,28630000,28660000,1
chr21,chr21,28570000,28600000,28000000,28030000,1
chr21,chr21,28570000,28600000,28300000,28330000,1
chr21,chr21,28570000,28600000,28330000,28360000,1
chr21,chr21,28570000,28600000,28360000,28390000,1
chr21,chr21,28570000,28600000,28420000,28450000,1
chr21,chr21,28570000,28600000,28540000,28570000,1
chr21,chr21,28570000,28600000,28570000,28600000,1
chr21,chr21,28570000,28600000,28600000,28630000,1
chr21,chr21,28600000,28630000,28000000,28030000,1
chr21,chr21,28600000,28630000,28300000,28330000,1
chr21,chr21,28600000,28630000,28330000,28360000,1
chr21,chr21,28600000,28630000,28360000,28390000,1
chr21,chr21,28600000,28630000,28540000,28570000,1
chr21,chr21,28600000,28630000,28570000,28600000,1
chr21,chr21,28600000,28630000,28600000,28630000,1
chr21,chr21,28630000,28660000,28450000,28480000,1
chr21,chr21,28630000,28660000,28540000,28570000,1
chr21,chr21,28630000,28660000,28630000,28660000,1
chr21,chr21,28660000,28690000,28660000,28690000,1
chr21,chr21,28690000,28720000,28480000,28510000,1
chr21,chr21,28690000,28720000,28690000,28720000,1
chr21,chr21,28690000,28720000,28720000,28750000,1
chr21,chr21,28690000,28720000,28750000,28780000,1
chr21,chr21,28720000,28750000,28480000,28510000,1
chr21,chr21,28720000,28750000,28690000,28720000,1
chr21,chr21,28720000,28750000,28720000,28750000,1
chr21,chr21,28720000,28750000,28750000,28780000,1
chr21,chr21,28750000,28780000,28030000,28060000,1
chr21,chr21,28750000,28780000,28690000,28720000,1
chr21,chr21,28750000,28780000,28720000,28750000,1
chr21,chr21,28750000,28780000,28750000,28780000,1
chr21,chr21,28780000,28810000,28780000,28810000,1
chr21,chr21,28780000,28810000,28810000,28840000,1
chr21,chr21,28780000,28810000,28870000,28900000,1
chr21,chr21,28780000,28810000,28900000,28930000,1
chr21,chr21,28780000,28810000,28960000,28990000,1
chr21,chr21,28810000,28840000,28780000,28810000,1
chr21,chr21,28810000,28840000,28810000,28840000,1
chr21,chr21,28810000,28840000,28870000,28900000,1
chr21,chr21,28810000,28840000,28960000,28990000,1
chr21,chr21,28840000,28870000,28840000,28870000,1
chr21,chr21,28870000,28900000,28780000,28810000,1
chr21,chr21,28870000,28900000,28810000,28840000,1
chr21,chr21,28870000,28900000,28870000,28900000,1
chr21,chr21,28870000,28900000,28900000,28930000,1
chr21,chr21,28870000,28900000,28960000,28990000,1
chr21,chr21,28900000,28930000,28780000,28810000,1
chr21,chr21,28900000,28930000,28870000,28900000,1
chr21,chr21,28900000,28930000,28900000,28930000,1
chr21,chr21,28900000,28930000,28960000,28990000,1
chr21,chr21,28930000,28960000,28930000,28960000,1
chr21,chr21,28930000,28960000,28960000,28990000,1
chr21,chr21,28960000,28990000,28780000,28810000,1
chr21,chr21,28960000,28990000,28810000,28840000,1
chr21,chr21,28960000,28990000,28870000,28900000,1
chr21,chr21,28960000,28990000,28900000,28930000,1
chr21,chr21,28960000,28990000,28930000,28960000,1
chr21,chr21,28960000,28990000,28960000,28990000,1
chr21,chr21,28960000,28990000,28990000,29020000,1
chr21,chr21,28990000,29020000,28960000,28990000,1
chr21,chr21,28990000,29020000,28990000,29020000,1
chr21,chr21,28990000,29020000,29020000,29050000,1
chr21,chr21,28990000,29020000,29050000,29080000,1
chr21,chr21,29020000,29050000,28990000,29020000,1
chr21,chr21,29020000,29050000,29020000,29050000,1
chr21,chr21,29020000,29050000,29050000,29080000,1
chr21,chr21,29050000,29080000,28990000,29020000,1
chr21,chr21,29050000,29080000,29020000,29050000,1
chr21,chr21,29050000,29080000,29050000,29080000,1
chr21,chr21,29080000,29110000,29080000,29110000,1
chr21,chr21,29080000,29110000,29290000,29320000,1
chr21,chr21,29080000,29110000,29680000,29710000,1
chr21,chr21,29110000,29140000,29110000,29140000,1
chr21,chr21,29110000,29140000,29140000,29170000,1
chr21,chr21,29110000,29140000,29200000,29230000,1
chr21,chr21,29110000,29140000,29230000,29260000,1
chr21,chr21,29140000,29170000,29110000,29140000,1
chr21,chr21,29140000,29170000,29140000,29170000,1
chr21,chr21,29140000,29170000,29170000,29200000,1
chr21,chr21,29140000,29170000,29230000,29260000,1
chr21,chr21,29170000,29200000,29140000,29170000,1
chr21,chr21,29170000,29200000,29170000,29200000,1
chr21,chr21,29170000,29200000,29230000,29260000,1
chr21,chr21,29200000,29230000,29110000,29140000,1
chr21,chr21,29200000,29230000,29200000,29230000,1
chr21,chr21,29200000,29230000,29230000,29260000,1
chr21,chr21,29230000,29260000,29110000,29140000,1
chr21,chr21,29230000,29260000,29140000,29170000,1
chr21,chr21,29230000,29260000,29170000,29200000,1
chr21,chr21,29230000,29260000,29200000,29230000,1
chr21,chr21,29230000,29260000,29230000,29260000,1
chr21,chr21,29260000,29290000,29260000,29290000,1
chr21,chr21,29260000,29290000,29320000,29350000,1
chr21,chr21,29260000,29290000,29350000,29380000,1
chr21,chr21,29290000,29320000,29080000,29110000,1
chr21,chr21,29290000,29320000,29290000,29320000,1
chr21,chr21,29290000,29320000,29680000,29710000,1
chr21,chr21,29290000,29320000,29710000,29740000,1
chr21,chr21,29320000,29350000,29260000,29290000,1
chr21,chr21,29320000,29350000,29320000,29350000,1
chr21,chr21,29320000,29350000,29350000,29380000,1
chr21,chr21,29320000,29350000,29680000,29710000,1
chr21,chr21,29320000,29350000,29710000,29740000,1
chr21,chr21,29320000,29350000,29830000,29860000,1
chr21,chr21,29320000,29350000,29920000,29950000,1
chr21,chr21,29350000,29380000,29260000,29290000,1
chr21,chr21,29350000,29380000,29320000,29350000,1
chr21,chr21,29350000,29380000,29350000,29380000,1
chr21,chr21,29350000,29380000,29710000,29740000,1
chr21,chr21,29350000,29380000,29770000,29800000,1
chr21,chr21,29350000,29380000,29830000,29860000,1
chr21,chr21,29350000,29380000,29920000,29950000,1
chr21,chr21,29380000,29410000,29380000,29410000,1
chr21,chr21,29380000,29410000,29800000,29830000,1
chr21,chr21,29380000,29410000,29860000,29890000,1
chr21,chr21,29410000,29440000,29410000,29440000,1
chr21,chr21,29410000,29440000,29500000,29530000,1
chr21,chr21,29440000,29470000,29440000,29470000,1
chr21,chr21,29440000,29470000,29470000,29500000,1
chr21,chr21,29470000,29500000,29440000,29470000,1
chr21,chr21,29470000,29500000,29470000,29500000,1
