chr1	start1	end1	chr2	start2	end2	distance
chr21	28000000	28030000	chr21	28000000	28030000	0.0
chr21	28000000	28030000	chr21	28030000	28060000	209.44927786936864
chr21	28000000	28030000	chr21	28060000	28090000	137.55362590640786
chr21	28000000	28030000	chr21	28090000	28120000	
chr21	28000000	28030000	chr21	28120000	28150000	
chr21	28000000	28030000	chr21	28150000	28180000	874.5564590122241
chr21	28000000	28030000	chr21	28180000	28210000	526.4304322510241
chr21	28000000	28030000	chr21	28210000	28240000	358.14242976782293
chr21	28000000	28030000	chr21	28240000	28270000	675.8313399066368
chr21	28000000	28030000	chr21	28270000	28300000	318.29860194477766
chr21	28000000	28030000	chr21	28300000	28330000	235.83044756773882
chr21	28000000	28030000	chr21	28330000	28360000	238.33589742210467
chr21	28000000	28030000	chr21	28360000	28390000	289.92585258993375
chr21	28000000	28030000	chr21	28390000	28420000	312.022435090812
chr21	28000000	28030000	chr21	28420000	28450000	527.6864599362011
chr21	28000000	28030000	chr21	28450000	28480000	453.59232797744716
chr21	28000000	28030000	chr21	28480000	28510000	788.4040842106286
chr21	28000000	28030000	chr21	28510000	28540000	711.4731196608907
chr21	28000000	28030000	chr21	28540000	28570000	785.4361845497061
chr21	28000000	28030000	chr21	28570000	28600000	842.7983151383254
chr21	28000000	28030000	chr21	28600000	28630000	689.1306117130482
chr21	28000000	28030000	chr21	28630000	28660000	643.3661476950742
chr21	28000000	28030000	chr21	28660000	28690000	939.613750431527
chr21	28000000	28030000	chr21	28690000	28720000	851.5274511135857
chr21	28000000	28030000	chr21	28720000	28750000	763.032109416111
chr21	28000000	28030000	chr21	28750000	28780000	826.9522356218647
chr21	28000000	28030000	chr21	28780000	28810000	944.7459976099396
chr21	28000000	28030000	chr21	28810000	28840000	968.376992704804
chr21	28000000	28030000	chr21	28840000	28870000	1060.1268791989005
chr21	28000000	28030000	chr21	28870000	28900000	953.3126454631765
chr21	28000000	28030000	chr21	28900000	28930000	1003.6762426200991
chr21	28000000	28030000	chr21	28930000	28960000	1028.4964754436448
chr21	28000000	28030000	chr21	28960000	28990000	1017.2516896029222
chr21	28000000	28030000	chr21	28990000	29020000	867.8421515460055
chr21	28000000	28030000	chr21	29020000	29050000	815.7370899989776
chr21	28000000	28030000	chr21	29050000	29080000	778.589750767373
chr21	28000000	28030000	chr21	29080000	29110000	600.9833608345575
chr21	28000000	28030000	chr21	29110000	29140000	958.6229707241529
chr21	28000000	28030000	chr21	29140000	29170000	911.7444817491357
chr21	28000000	28030000	chr21	29170000	29200000	848.2098796878046
chr21	28000000	28030000	chr21	29200000	29230000	803.0790745623995
chr21	28000000	28030000	chr21	29230000	29260000	923.7288563209445
chr21	28000000	28030000	chr21	29260000	29290000	844.4507090410902
chr21	28000000	28030000	chr21	29290000	29320000	930.2005160179175
chr21	28000000	28030000	chr21	29320000	29350000	1495.7977804502852
chr21	28000000	28030000	chr21	29350000	29380000	931.7129386243383
chr21	28000000	28030000	chr21	29380000	29410000	962.7242595883829
chr21	28000000	28030000	chr21	29410000	29440000	1127.7628296765238
chr21	28000000	28030000	chr21	29440000	29470000	
chr21	28000000	28030000	chr21	29470000	29500000	1723.2704372790708
