chr1	start1	end1	chr2	start2	end2	distance
chr21	28000000	28030000	chr21	28000000	28030000	0.0
chr21	28000000	28030000	chr21	28030000	28060000	559.0974870270837
chr21	28000000	28030000	chr21	28060000	28090000	651.8220616088412
chr21	28000000	28030000	chr21	28090000	28120000	659.125177792504
chr21	28000000	28030000	chr21	28120000	28150000	737.5337280423181
chr21	28000000	28030000	chr21	28150000	28180000	145.89379698945393
chr21	28000000	28030000	chr21	28180000	28210000	471.6375727187137
chr21	28000000	28030000	chr21	28210000	28240000	
chr21	28000000	28030000	chr21	28240000	28270000	415.143348736313
chr21	28000000	28030000	chr21	28270000	28300000	321.68462816864593
chr21	28000000	28030000	chr21	28300000	28330000	571.5890131904216
chr21	28000000	28030000	chr21	28330000	28360000	485.1319408161042
chr21	28000000	28030000	chr21	28360000	28390000	445.1078520987919
chr21	28000000	28030000	chr21	28390000	28420000	604.5800195176814
chr21	28000000	28030000	chr21	28420000	28450000	581.6304668773809
chr21	28000000	28030000	chr21	28450000	28480000	655.5532015023647
chr21	28000000	28030000	chr21	28480000	28510000	755.4535061802281
chr21	28000000	28030000	chr21	28510000	28540000	693.745630616871
chr21	28000000	28030000	chr21	28540000	28570000	589.1739980684823
chr21	28000000	28030000	chr21	28570000	28600000	653.2426807856327
chr21	28000000	28030000	chr21	28600000	28630000	558.8291330988391
chr21	28000000	28030000	chr21	28630000	28660000	549.5816590826153
chr21	28000000	28030000	chr21	28660000	28690000	531.5204605657246
chr21	28000000	28030000	chr21	28690000	28720000	480.2603460624248
chr21	28000000	28030000	chr21	28720000	28750000	554.823395325035
chr21	28000000	28030000	chr21	28750000	28780000	525.228521693177
chr21	28000000	28030000	chr21	28780000	28810000	561.7339227783916
chr21	28000000	28030000	chr21	28810000	28840000	558.5105191489234
chr21	28000000	28030000	chr21	28840000	28870000	643.4943667197095
chr21	28000000	28030000	chr21	28870000	28900000	560.287426237641
chr21	28000000	28030000	chr21	28900000	28930000	585.7115330945772
chr21	28000000	28030000	chr21	28930000	28960000	548.6474277712418
chr21	28000000	28030000	chr21	28960000	28990000	587.8724351421829
chr21	28000000	28030000	chr21	28990000	29020000	758.8524230705203
chr21	28000000	28030000	chr21	29020000	29050000	705.1028293802259
chr21	28000000	28030000	chr21	29050000	29080000	553.9575796033483
chr21	28000000	28030000	chr21	29080000	29110000	698.5363269007561
chr21	28000000	28030000	chr21	29110000	29140000	568.387191973922
chr21	28000000	28030000	chr21	29140000	29170000	604.9371868219047
chr21	28000000	28030000	chr21	29170000	29200000	607.6676723341468
chr21	28000000	28030000	chr21	29200000	29230000	
chr21	28000000	28030000	chr21	29230000	29260000	711.8272262283875
chr21	28000000	28030000	chr21	29260000	29290000	733.2271135194061
chr21	28000000	28030000	chr21	29290000	29320000	633.4753349578814
chr21	28000000	28030000	chr21	29320000	29350000	700.6718204694691
chr21	28000000	28030000	chr21	29350000	29380000	590.337191781104
chr21	28000000	28030000	chr21	29380000	29410000	685.3765388456188
chr21	28000000	28030000	chr21	29410000	29440000	527.4940757961174
chr21	28000000	28030000	chr21	29440000	29470000	
chr21	28000000	28030000	chr21	29470000	29500000	523.7575775108176
chr21	28000000	28030000	chr21	29500000	29530000	1091.4320867557449
chr21	28000000	28030000	chr21	29530000	29560000	674.4167850817475
chr21	28000000	28030000	chr21	29560000	29590000	
chr21	28000000	28030000	chr21	29590000	29620000	675.5545869876098
chr21	28000000	28030000	chr21	29620000	29650000	548.3921954222179
chr21	28000000	28030000	chr21	29650000	29680000	611.5374068689503
chr21	28000000	28030000	chr21	29680000	29710000	541.9769367786788
chr21	28000000	28030000	chr21	29710000	29740000	782.1182775002768
chr21	28000000	28030000	chr21	29740000	29770000	730.8515581155998
chr21	28000000	28030000	chr21	29770000	29800000	624.8599843164867
chr21	28000000	28030000	chr21	29800000	29830000	641.6580085995967
chr21	28000000	28030000	chr21	29830000	29860000	617.3645600453592
chr21	28000000	28030000	chr21	29860000	29890000	611.1211009284493
chr21	28000000	28030000	chr21	29890000	29920000	610.8387675974733
chr21	28000000	28030000	chr21	29920000	29950000	
chr21	28030000	28060000	chr21	28030000	28060000	0.0
chr21	28030000	28060000	chr21	28060000	28090000	180.52700628991775
chr21	28030000	28060000	chr21	28090000	28120000	178.80715869338118
chr21	28030000	28060000	chr21	28120000	28150000	221.85130155128684
chr21	28030000	28060000	chr21	28150000	28180000	691.0419668876848
chr21	28030000	28060000	chr21	28180000	28210000	193.57169214531345
chr21	28030000	28060000	chr21	28210000	28240000	
chr21	28030000	28060000	chr21	28240000	28270000	562.3610939600997
chr21	28030000	28060000	chr21	28270000	28300000	519.4622219180139
chr21	28030000	28060000	chr21	28300000	28330000	985.8001825928011
chr21	28030000	28060000	chr21	28330000	28360000	704.9234000939393
chr21	28030000	28060000	chr21	28360000	28390000	686.5005462488723
chr21	28030000	28060000	chr21	28390000	28420000	777.4799032772487
chr21	28030000	28060000	chr21	28420000	28450000	910.9335870413386
chr21	28030000	28060000	chr21	28450000	28480000	905.7858466547157
chr21	28030000	28060000	chr21	28480000	28510000	945.5115017809144
chr21	28030000	28060000	chr21	28510000	28540000	943.2396302106904
chr21	28030000	28060000	chr21	28540000	28570000	791.6312272769436
