chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,10400000,10450000,10400000,10450000,1
chr21,chr21,10400000,10450000,30950000,31000000,1
chr21,chr21,10500000,10550000,10500000,10550000,1
chr21,chr21,10600000,10650000,10600000,10650000,1
chr21,chr21,13250000,13300000,13250000,13300000,1
chr21,chr21,13250000,13300000,14400000,14450000,1
chr21,chr21,13250000,13300000,15350000,15400000,1
chr21,chr21,13250000,13300000,15450000,15500000,1
chr21,chr21,13250000,13300000,18400000,18450000,1
chr21,chr21,13250000,13300000,23250000,23300000,1
chr21,chr21,14000000,14050000,14000000,14050000,1
chr21,chr21,14000000,14050000,19600000,19650000,1
chr21,chr21,14050000,14100000,14050000,14100000,1
chr21,chr21,14050000,14100000,16700000,16750000,1
chr21,chr21,14050000,14100000,16800000,16850000,1
chr21,chr21,14100000,14150000,14100000,14150000,1
chr21,chr21,14100000,14150000,17100000,17150000,1
chr21,chr21,14100000,14150000,23550000,23600000,1
chr21,chr21,14150000,14200000,14150000,14200000,1
chr21,chr21,14150000,14200000,18450000,18500000,1
chr21,chr21,14150000,14200000,21750000,21800000,1
chr21,chr21,14150000,14200000,22750000,22800000,1
chr21,chr21,14150000,14200000,22900000,22950000,1
chr21,chr21,14150000,14200000,23150000,23200000,1
chr21,chr21,14150000,14200000,23200000,23250000,1
chr21,chr21,14150000,14200000,25000000,25050000,1
chr21,chr21,14150000,14200000,30550000,30600000,1
chr21,chr21,14150000,14200000,31550000,31600000,1
chr21,chr21,14200000,14250000,14200000,14250000,1
chr21,chr21,14200000,14250000,14750000,14800000,1
chr21,chr21,14200000,14250000,40850000,40900000,1
chr21,chr21,14250000,14300000,14250000,14300000,1
chr21,chr21,14250000,14300000,24050000,24100000,1
chr21,chr21,14250000,14300000,24100000,24150000,1
chr21,chr21,14250000,14300000,24150000,24200000,1
chr21,chr21,14250000,14300000,30050000,30100000,1
chr21,chr21,14300000,14350000,14300000,14350000,1
chr21,chr21,14300000,14350000,15450000,15500000,1
chr21,chr21,14300000,14350000,15700000,15750000,1
chr21,chr21,14300000,14350000,17950000,18000000,1
chr21,chr21,14300000,14350000,18200000,18250000,1
chr21,chr21,14300000,14350000,21250000,21300000,1
chr21,chr21,14300000,14350000,28150000,28200000,1
chr21,chr21,14300000,14350000,30600000,30650000,1
chr21,chr21,14350000,14400000,14350000,14400000,1
chr21,chr21,14350000,14400000,15550000,15600000,1
chr21,chr21,14350000,14400000,32000000,32050000,1
chr21,chr21,14350000,14400000,32100000,32150000,1
chr21,chr21,14400000,14450000,13250000,13300000,1
chr21,chr21,14400000,14450000,14400000,14450000,1
chr21,chr21,14400000,14450000,15450000,15500000,1
chr21,chr21,14400000,14450000,18250000,18300000,1
chr21,chr21,14400000,14450000,22400000,22450000,1
chr21,chr21,14400000,14450000,28150000,28200000,1
chr21,chr21,14450000,14500000,14450000,14500000,1
chr21,chr21,14500000,14550000,14500000,14550000,1
chr21,chr21,14500000,14550000,14700000,14750000,1
chr21,chr21,14500000,14550000,31800000,31850000,1
chr21,chr21,14500000,14550000,32150000,32200000,1
chr21,chr21,14550000,14600000,14550000,14600000,1
chr21,chr21,14550000,14600000,15000000,15050000,1
chr21,chr21,14550000,14600000,18850000,18900000,1
chr21,chr21,14600000,14650000,14600000,14650000,1
chr21,chr21,14600000,14650000,17850000,17900000,1
chr21,chr21,14600000,14650000,18250000,18300000,1
chr21,chr21,14600000,14650000,18350000,18400000,1
chr21,chr21,14600000,14650000,26200000,26250000,1
chr21,chr21,14600000,14650000,28150000,28200000,1
chr21,chr21,14600000,14650000,30700000,30750000,1
chr21,chr21,14650000,14700000,14650000,14700000,1
chr21,chr21,14650000,14700000,16150000,16200000,1
chr21,chr21,14650000,14700000,16200000,16250000,1
chr21,chr21,14650000,14700000,16250000,16300000,1
chr21,chr21,14650000,14700000,26250000,26300000,1
chr21,chr21,14650000,14700000,46250000,46300000,1
chr21,chr21,14700000,14750000,14500000,14550000,1
chr21,chr21,14700000,14750000,14700000,14750000,1
chr21,chr21,14700000,14750000,31800000,31850000,1
chr21,chr21,14700000,14750000,32150000,32200000,1
chr21,chr21,14750000,14800000,14200000,14250000,1
chr21,chr21,14750000,14800000,14750000,14800000,1
chr21,chr21,14750000,14800000,14800000,14850000,1
chr21,chr21,14750000,14800000,31750000,31800000,1
chr21,chr21,14750000,14800000,31800000,31850000,1
chr21,chr21,14750000,14800000,40850000,40900000,1
chr21,chr21,14800000,14850000,14750000,14800000,1
chr21,chr21,14800000,14850000,14800000,14850000,1
chr21,chr21,14800000,14850000,29050000,29100000,1
chr21,chr21,14800000,14850000,31700000,31750000,1
chr21,chr21,14850000,14900000,14850000,14900000,1
chr21,chr21,14850000,14900000,14900000,14950000,1
chr21,chr21,14850000,14900000,31900000,31950000,1
chr21,chr21,14850000,14900000,32250000,32300000,1
chr21,chr21,14850000,14900000,32550000,32600000,1
chr21,chr21,14850000,14900000,32600000,32650000,1
chr21,chr21,14850000,14900000,38050000,38100000,1
chr21,chr21,14900000,14950000,14850000,14900000,1
chr21,chr21,14900000,14950000,14900000,14950000,1
chr21,chr21,14900000,14950000,31900000,31950000,1
chr21,chr21,14900000,14950000,32250000,32300000,1
chr21,chr21,14900000,14950000,38050000,38100000,1
chr21,chr21,14950000,15000000,14950000,15000000,1
chr21,chr21,14950000,15000000,17850000,17900000,1
chr21,chr21,14950000,15000000,30700000,30750000,1
chr21,chr21,14950000,15000000,32000000,32050000,1
chr21,chr21,14950000,15000000,32200000,32250000,1
chr21,chr21,15000000,15050000,14550000,14600000,1
chr21,chr21,15000000,15050000,15000000,15050000,1
chr21,chr21,15000000,15050000,15150000,15200000,1
chr21,chr21,15000000,15050000,18850000,18900000,1
chr21,chr21,15050000,15100000,15050000,15100000,1
chr21,chr21,15050000,15100000,15100000,15150000,1
chr21,chr21,15050000,15100000,27300000,27350000,1
chr21,chr21,15050000,15100000,40500000,40550000,1
chr21,chr21,15050000,15100000,40550000,40600000,1
chr21,chr21,15100000,15150000,15050000,15100000,1
chr21,chr21,15100000,15150000,15100000,15150000,1
chr21,chr21,15100000,15150000,15150000,15200000,1
chr21,chr21,15100000,15150000,18850000,18900000,1
chr21,chr21,15100000,15150000,18900000,18950000,1
chr21,chr21,15100000,15150000,21850000,21900000,1
chr21,chr21,15100000,15150000,40500000,40550000,1
chr21,chr21,15100000,15150000,40550000,40600000,1
chr21,chr21,15150000,15200000,15000000,15050000,1
chr21,chr21,15150000,15200000,15100000,15150000,1
