chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,10400000,10450000,10400000,10450000,1
chr21,chr21,10400000,10450000,40500000,40550000,1
chr21,chr21,10500000,10550000,10500000,10550000,1
chr21,chr21,10600000,10650000,10600000,10650000,1
chr21,chr21,13250000,13300000,13250000,13300000,1
chr21,chr21,13250000,13300000,18400000,18450000,1
chr21,chr21,13250000,13300000,22850000,22900000,1
chr21,chr21,14000000,14050000,14000000,14050000,1
chr21,chr21,14000000,14050000,35300000,35350000,1
chr21,chr21,14050000,14100000,14050000,14100000,1
chr21,chr21,14050000,14100000,14200000,14250000,1
chr21,chr21,14050000,14100000,28950000,29000000,1
chr21,chr21,14050000,14100000,29050000,29100000,1
chr21,chr21,14050000,14100000,29100000,29150000,1
chr21,chr21,14050000,14100000,29250000,29300000,1
chr21,chr21,14100000,14150000,14100000,14150000,1
chr21,chr21,14100000,14150000,15450000,15500000,1
chr21,chr21,14100000,14150000,15950000,16000000,1
chr21,chr21,14100000,14150000,16000000,16050000,1
chr21,chr21,14100000,14150000,16500000,16550000,1
chr21,chr21,14100000,14150000,16600000,16650000,1
chr21,chr21,14100000,14150000,16650000,16700000,1
chr21,chr21,14150000,14200000,14150000,14200000,1
chr21,chr21,14150000,14200000,14250000,14300000,1
chr21,chr21,14150000,14200000,15200000,15250000,1
chr21,chr21,14150000,14200000,15300000,15350000,1
chr21,chr21,14150000,14200000,18350000,18400000,1
chr21,chr21,14150000,14200000,18950000,19000000,1
chr21,chr21,14150000,14200000,20200000,20250000,1
chr21,chr21,14150000,14200000,23550000,23600000,1
chr21,chr21,14150000,14200000,24300000,24350000,1
chr21,chr21,14150000,14200000,24550000,24600000,1
chr21,chr21,14200000,14250000,14050000,14100000,1
chr21,chr21,14200000,14250000,14200000,14250000,1
chr21,chr21,14200000,14250000,17550000,17600000,1
chr21,chr21,14200000,14250000,17700000,17750000,1
chr21,chr21,14200000,14250000,17800000,17850000,1
chr21,chr21,14200000,14250000,17900000,17950000,1
chr21,chr21,14200000,14250000,29050000,29100000,1
chr21,chr21,14250000,14300000,14150000,14200000,1
chr21,chr21,14250000,14300000,14250000,14300000,1
chr21,chr21,14250000,14300000,14800000,14850000,1
chr21,chr21,14250000,14300000,18350000,18400000,1
chr21,chr21,14250000,14300000,19750000,19800000,1
chr21,chr21,14250000,14300000,20200000,20250000,1
chr21,chr21,14250000,14300000,23550000,23600000,1
chr21,chr21,14250000,14300000,23600000,23650000,1
chr21,chr21,14250000,14300000,24300000,24350000,1
chr21,chr21,14300000,14350000,14300000,14350000,1
