chr1	start1	end1	chr2	start2	end2	distance
chr21	28000000	28030000	chr21	28000000	28030000	0.0
chr21	28000000	28030000	chr21	28030000	28060000	581.1118653065001
chr21	28000000	28030000	chr21	28060000	28090000	924.0189391998413
chr21	28000000	28030000	chr21	28090000	28120000	888.2437728461708
chr21	28000000	28030000	chr21	28120000	28150000	366.0177591319853
chr21	28000000	28030000	chr21	28150000	28180000	641.9431438998316
chr21	28000000	28030000	chr21	28180000	28210000	760.2374629022172
chr21	28000000	28030000	chr21	28210000	28240000	647.4472951522772
chr21	28000000	28030000	chr21	28240000	28270000	641.6580085995967
chr21	28000000	28030000	chr21	28270000	28300000	790.3651055050444
chr21	28000000	28030000	chr21	28300000	28330000	558.2275521684683
chr21	28000000	28030000	chr21	28330000	28360000	723.5198684210407
chr21	28000000	28030000	chr21	28360000	28390000	672.621736193531
chr21	28000000	28030000	chr21	28390000	28420000	836.6474765395519
chr21	28000000	28030000	chr21	28420000	28450000	811.9488900170995
chr21	28000000	28030000	chr21	28450000	28480000	845.9816782886022
chr21	28000000	28030000	chr21	28480000	28510000	794.2449244408176
chr21	28000000	28030000	chr21	28510000	28540000	691.7991037866412
chr21	28000000	28030000	chr21	28540000	28570000	798.4340924584822
chr21	28000000	28030000	chr21	28570000	28600000	725.9483452698271
chr21	28000000	28030000	chr21	28600000	28630000	635.0724368133134
chr21	28000000	28030000	chr21	28630000	28660000	567.7895736978621
chr21	28000000	28030000	chr21	28660000	28690000	596.1820191854163
chr21	28000000	28030000	chr21	28690000	28720000	521.4192171372283
chr21	28000000	28030000	chr21	28720000	28750000	514.2713291638958
chr21	28000000	28030000	chr21	28750000	28780000	447.16104481495256
chr21	28000000	28030000	chr21	28780000	28810000	442.6522337004525
chr21	28000000	28030000	chr21	28810000	28840000	286.6513561802909
chr21	28000000	28030000	chr21	28840000	28870000	366.16253221759325
chr21	28000000	28030000	chr21	28870000	28900000	775.4766276297436
chr21	28000000	28030000	chr21	28900000	28930000	476.88677901573243
chr21	28000000	28030000	chr21	28930000	28960000	580.7675955147636
chr21	28000000	28030000	chr21	28960000	28990000	488.66859935952505
chr21	28000000	28030000	chr21	28990000	29020000	470.9246224184928
chr21	28000000	28030000	chr21	29020000	29050000	418.2702475672875
chr21	28000000	28030000	chr21	29050000	29080000	
chr21	28000000	28030000	chr21	29080000	29110000	418.1578649266327
chr21	28000000	28030000	chr21	29110000	29140000	559.144882834494
chr21	28000000	28030000	chr21	29140000	29170000	
chr21	28000000	28030000	chr21	29170000	29200000	499.2724707011193
chr21	28000000	28030000	chr21	29200000	29230000	400.4971910013852
chr21	28000000	28030000	chr21	29230000	29260000	322.2436966024316
chr21	28000000	28030000	chr21	29260000	29290000	508.308961164369
chr21	28000000	28030000	chr21	29290000	29320000	354.5208033388168
chr21	28000000	28030000	chr21	29320000	29350000	238.21418933388497
chr21	28000000	28030000	chr21	29350000	29380000	131.27452151883853
chr21	28000000	28030000	chr21	29380000	29410000	283.77632036517775
chr21	28000000	28030000	chr21	29410000	29440000	368.00407606438273
chr21	28000000	28030000	chr21	29440000	29470000	
chr21	28000000	28030000	chr21	29470000	29500000	185.23768515072737
chr21	28000000	28030000	chr21	29500000	29530000	282.16661744437454
chr21	28000000	28030000	chr21	29530000	29560000	211.0781845667619
chr21	28000000	28030000	chr21	29560000	29590000	
chr21	28000000	28030000	chr21	29590000	29620000	423.3332020997172
chr21	28000000	28030000	chr21	29620000	29650000	419.3208795182992
chr21	28000000	28030000	chr21	29650000	29680000	556.2544381845416
chr21	28000000	28030000	chr21	29680000	29710000	544.6485105093009
chr21	28000000	28030000	chr21	29710000	29740000	462.4089099487595
chr21	28000000	28030000	chr21	29740000	29770000	489.2862148068347
chr21	28000000	28030000	chr21	29770000	29800000	436.8260523366252
chr21	28000000	28030000	chr21	29800000	29830000	514.5590345140196
chr21	28000000	28030000	chr21	29830000	29860000	589.3606705575119
chr21	28000000	28030000	chr21	29860000	29890000	437.2001829825784
chr21	28000000	28030000	chr21	29890000	29920000	333.8218087543113
chr21	28000000	28030000	chr21	29920000	29950000	446.3395568398571
chr21	28030000	28060000	chr21	28030000	28060000	0.0
chr21	28030000	28060000	chr21	28060000	28090000	426.31912929166106
chr21	28030000	28060000	chr21	28090000	28120000	467.17662612763496
chr21	28030000	28060000	chr21	28120000	28150000	230.16950275829333
chr21	28030000	28060000	chr21	28150000	28180000	92.82241108697835
chr21	28030000	28060000	chr21	28180000	28210000	202.13361917306088
chr21	28030000	28060000	chr21	28210000	28240000	116.04740410711477
chr21	28030000	28060000	chr21	28240000	28270000	105.89617556833674
chr21	28030000	28060000	chr21	28270000	28300000	238.91839611047115
chr21	28030000	28060000	chr21	28300000	28330000	142.52368224263643
chr21	28030000	28060000	chr21	28330000	28360000	167.66037098849566
chr21	28030000	28060000	chr21	28360000	28390000	213.67966679120408
chr21	28030000	28060000	chr21	28390000	28420000	310.95337271044355
chr21	28030000	28060000	chr21	28420000	28450000	277.0090251237313
chr21	28030000	28060000	chr21	28450000	28480000	340.7198262502492
chr21	28030000	28060000	chr21	28480000	28510000	286.5344656406974
chr21	28030000	28060000	chr21	28510000	28540000	268.0093281958671
chr21	28030000	28060000	chr21	28540000	28570000	320.5152102475014
chr21	28030000	28060000	chr21	28570000	28600000	229.52559770099717
chr21	28030000	28060000	chr21	28600000	28630000	195.59652348648734
chr21	28030000	28060000	chr21	28630000	28660000	143.8679950510189
chr21	28030000	28060000	chr21	28660000	28690000	113.53413583587978
chr21	28030000	28060000	chr21	28690000	28720000	304.33041254531236
chr21	28030000	28060000	chr21	28720000	28750000	114.3153532995459
chr21	28030000	28060000	chr21	28750000	28780000	157.34675084030175
chr21	28030000	28060000	chr21	28780000	28810000	142.5833089811006
chr21	28030000	28060000	chr21	28810000	28840000	448.82736101980237
chr21	28030000	28060000	chr21	28840000	28870000	375.2812278811718
chr21	28030000	28060000	chr21	28870000	28900000	431.6514797843279
chr21	28030000	28060000	chr21	28900000	28930000	422.83566547773614
chr21	28030000	28060000	chr21	28930000	28960000	342.6601815209932
chr21	28030000	28060000	chr21	28960000	28990000	368.24176840765904
chr21	28030000	28060000	chr21	28990000	29020000	406.15391171328145
chr21	28030000	28060000	chr21	29020000	29050000	359.93471630283176
chr21	28030000	28060000	chr21	29050000	29080000	
chr21	28030000	28060000	chr21	29080000	29110000	177.52464617624224
chr21	28030000	28060000	chr21	29110000	29140000	247.2650399874596
chr21	28030000	28060000	chr21	29140000	29170000	
chr21	28030000	28060000	chr21	29170000	29200000	195.95407625257505
chr21	28030000	28060000	chr21	29200000	29230000	454.41060727056094
chr21	28030000	28060000	chr21	29230000	29260000	495.2918331650543
chr21	28030000	28060000	chr21	29260000	29290000	87.29833904490967
chr21	28030000	28060000	chr21	29290000	29320000	321.66131256338554
chr21	28030000	28060000	chr21	29320000	29350000	351.39294244477935
chr21	28030000	28060000	chr21	29350000	29380000	452.89513134941075
chr21	28030000	28060000	chr21	29380000	29410000	364.3816680350426
chr21	28030000	28060000	chr21	29410000	29440000	249.61570463414355
chr21	28030000	28060000	chr21	29440000	29470000	
chr21	28030000	28060000	chr21	29470000	29500000	499.7579414076379
chr21	28030000	28060000	chr21	29500000	29530000	524.1078133361494
chr21	28030000	28060000	chr21	29530000	29560000	471.9120680804847
chr21	28030000	28060000	chr21	29560000	29590000	
chr21	28030000	28060000	chr21	29590000	29620000	649.4489972276499
chr21	28030000	28060000	chr21	29620000	29650000	557.0035906526995
chr21	28030000	28060000	chr21	29650000	29680000	552.5613088155919
chr21	28030000	28060000	chr21	29680000	29710000	495.62990224561713
chr21	28030000	28060000	chr21	29710000	29740000	381.29384993728917
chr21	28030000	28060000	chr21	29740000	29770000	553.3985905294663
chr21	28030000	28060000	chr21	29770000	29800000	227.06386766722704
chr21	28030000	28060000	chr21	29800000	29830000	571.3457797166266
chr21	28030000	28060000	chr21	29830000	29860000	661.9101147436863
chr21	28030000	28060000	chr21	29860000	29890000	603.2072612295048
chr21	28030000	28060000	chr21	29890000	29920000	521.1084340134978
chr21	28030000	28060000	chr21	29920000	29950000	475.5880570409648
chr21	28060000	28090000	chr21	28060000	28090000	0.0
chr21	28060000	28090000	chr21	28090000	28120000	219.0662000400792
chr21	28060000	28090000	chr21	28120000	28150000	588.8785952978764
chr21	28060000	28090000	chr21	28150000	28180000	344.6679561549057
chr21	28060000	28090000	chr21	28180000	28210000	271.21578125175535
chr21	28060000	28090000	chr21	28210000	28240000	315.14282476363
chr21	28060000	28090000	chr21	28240000	28270000	349.56830519942736
chr21	28060000	28090000	chr21	28270000	28300000	260.357446599862
chr21	28060000	28090000	chr21	28300000	28330000	440.61434384277595
chr21	28060000	28090000	chr21	28330000	28360000	267.1890716328046
chr21	28060000	28090000	chr21	28360000	28390000	270.64921947051687
chr21	28060000	28090000	chr21	28390000	28420000	188.76440342395068
chr21	28060000	28090000	chr21	28420000	28450000	155.54420593516173
chr21	28060000	28090000	chr21	28450000	28480000	86.84468895678077
chr21	28060000	28090000	chr21	28480000	28510000	141.1594842722231
chr21	28060000	28090000	chr21	28510000	28540000	234.42056223804258
chr21	28060000	28090000	chr21	28540000	28570000	158.91507165778833
chr21	28060000	28090000	chr21	28570000	28600000	208.02403707264216
chr21	28060000	28090000	chr21	28600000	28630000	303.04785100706454
chr21	28060000	28090000	chr21	28630000	28660000	377.4572823512616
chr21	28060000	28090000	chr21	28660000	28690000	394.55037701160546
chr21	28060000	28090000	chr21	28690000	28720000	442.24992933860375
chr21	28060000	28090000	chr21	28720000	28750000	466.84472793424584
chr21	28060000	28090000	chr21	28750000	28780000	576.262093148595
chr21	28060000	28090000	chr21	28780000	28810000	540.8160500576882
chr21	28060000	28090000	chr21	28810000	28840000	701.448501317096
chr21	28060000	28090000	chr21	28840000	28870000	591.6553050552324
chr21	28060000	28090000	chr21	28870000	28900000	487.4207627912459
chr21	28060000	28090000	chr21	28900000	28930000	542.0092250137445
chr21	28060000	28090000	chr21	28930000	28960000	389.43548888102123
chr21	28060000	28090000	chr21	28960000	28990000	512.5953569824838
chr21	28060000	28090000	chr21	28990000	29020000	550.2772028714255
chr21	28060000	28090000	chr21	29020000	29050000	544.3170032251427
chr21	28060000	28090000	chr21	29050000	29080000	
chr21	28060000	28090000	chr21	29080000	29110000	574.2290483770391
chr21	28060000	28090000	chr21	29110000	29140000	504.45217811007615
chr21	28060000	28090000	chr21	29140000	29170000	
chr21	28060000	28090000	chr21	29170000	29200000	494.0506046955109
chr21	28060000	28090000	chr21	29200000	29230000	698.1468326935244
chr21	28060000	28090000	chr21	29230000	29260000	761.3369818943514
chr21	28060000	28090000	chr21	29260000	29290000	501.0718511351441
chr21	28060000	28090000	chr21	29290000	29320000	596.8333100623657
chr21	28060000	28090000	chr21	29320000	29350000	713.7121268410675
chr21	28060000	28090000	chr21	29350000	29380000	800.2836996965514
chr21	28060000	28090000	chr21	29380000	29410000	671.2480912449583
chr21	28060000	28090000	chr21	29410000	29440000	569.0061511091071
chr21	28060000	28090000	chr21	29440000	29470000	
chr21	28060000	28090000	chr21	29470000	29500000	838.4664572897356
chr21	28060000	28090000	chr21	29500000	29530000	862.3856445929513
chr21	28060000	28090000	chr21	29530000	29560000	777.2033196017629
chr21	28060000	28090000	chr21	29560000	29590000	
chr21	28060000	28090000	chr21	29590000	29620000	983.4856379225881
chr21	28060000	28090000	chr21	29620000	29650000	926.8554364085048
chr21	28060000	28090000	chr21	29650000	29680000	896.5667850193871
chr21	28060000	28090000	chr21	29680000	29710000	843.3534253206066
chr21	28060000	28090000	chr21	29710000	29740000	743.9791663749731
chr21	28060000	28090000	chr21	29740000	29770000	941.9946921294196
chr21	28060000	28090000	chr21	29770000	29800000	589.4387160680914
chr21	28060000	28090000	chr21	29800000	29830000	942.6133884048115
chr21	28060000	28090000	chr21	29830000	29860000	990.8748659644164
chr21	28060000	28090000	chr21	29860000	29890000	953.7772276585346
chr21	28060000	28090000	chr21	29890000	29920000	913.3290754158656
chr21	28060000	28090000	chr21	29920000	29950000	827.6690159719645
chr21	28090000	28120000	chr21	28090000	28120000	0.0
chr21	28090000	28120000	chr21	28120000	28150000	604.0380782699051
chr21	28090000	28120000	chr21	28150000	28180000	377.34069486340854
chr21	28090000	28120000	chr21	28180000	28210000	396.5728180296779
chr21	28090000	28120000	chr21	28210000	28240000	374.2579324476637
chr21	28090000	28120000	chr21	28240000	28270000	430.7272919145013
chr21	28090000	28120000	chr21	28270000	28300000	406.5169123173106
chr21	28090000	28120000	chr21	28300000	28330000	516.2567190846042
chr21	28090000	28120000	chr21	28330000	28360000	358.05306869233783
chr21	28090000	28120000	chr21	28360000	28390000	354.63361374804845
chr21	28090000	28120000	chr21	28390000	28420000	366.26493143624873
