chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,10400000,10450000,10400000,10450000,1
chr21,chr21,10400000,10450000,10500000,10550000,1
chr21,chr21,10500000,10550000,10400000,10450000,1
chr21,chr21,10500000,10550000,10500000,10550000,1
chr21,chr21,10600000,10650000,10600000,10650000,1
chr21,chr21,13250000,13300000,13250000,13300000,1
chr21,chr21,13250000,13300000,15650000,15700000,1
chr21,chr21,13250000,13300000,16850000,16900000,1
chr21,chr21,13250000,13300000,17950000,18000000,1
chr21,chr21,13250000,13300000,18000000,18050000,1
chr21,chr21,13250000,13300000,18050000,18100000,1
chr21,chr21,14000000,14050000,14000000,14050000,1
chr21,chr21,14050000,14100000,14050000,14100000,1
chr21,chr21,14100000,14150000,14100000,14150000,1
chr21,chr21,14150000,14200000,14150000,14200000,1
chr21,chr21,14200000,14250000,14200000,14250000,1
chr21,chr21,14250000,14300000,14250000,14300000,1
chr21,chr21,14300000,14350000,14300000,14350000,1
chr21,chr21,14350000,14400000,14350000,14400000,1
chr21,chr21,14350000,14400000,15650000,15700000,1
chr21,chr21,14350000,14400000,15700000,15750000,1
chr21,chr21,14400000,14450000,14400000,14450000,1
chr21,chr21,14450000,14500000,14450000,14500000,1
chr21,chr21,14450000,14500000,15500000,15550000,1
chr21,chr21,14500000,14550000,14500000,14550000,1
chr21,chr21,14500000,14550000,16000000,16050000,1
chr21,chr21,14550000,14600000,14550000,14600000,1
chr21,chr21,14550000,14600000,14600000,14650000,1
chr21,chr21,14600000,14650000,14550000,14600000,1
chr21,chr21,14600000,14650000,14600000,14650000,1
chr21,chr21,14650000,14700000,14650000,14700000,1
chr21,chr21,14650000,14700000,15450000,15500000,1
chr21,chr21,14650000,14700000,18250000,18300000,1
chr21,chr21,14650000,14700000,18800000,18850000,1
chr21,chr21,14650000,14700000,19300000,19350000,1
chr21,chr21,14650000,14700000,19450000,19500000,1
chr21,chr21,14650000,14700000,20750000,20800000,1
chr21,chr21,14650000,14700000,23200000,23250000,1
chr21,chr21,14650000,14700000,23950000,24000000,1
chr21,chr21,14650000,14700000,28700000,28750000,1
chr21,chr21,14700000,14750000,14700000,14750000,1
chr21,chr21,14700000,14750000,15150000,15200000,1
chr21,chr21,14700000,14750000,15250000,15300000,1
chr21,chr21,14700000,14750000,18650000,18700000,1
chr21,chr21,14700000,14750000,18700000,18750000,1
chr21,chr21,14700000,14750000,19350000,19400000,1
chr21,chr21,14700000,14750000,19450000,19500000,1
chr21,chr21,14750000,14800000,14750000,14800000,1
chr21,chr21,14750000,14800000,15350000,15400000,1
chr21,chr21,14750000,14800000,18550000,18600000,1
chr21,chr21,14750000,14800000,19200000,19250000,1
chr21,chr21,14750000,14800000,22300000,22350000,1
chr21,chr21,14750000,14800000,37850000,37900000,1
chr21,chr21,14800000,14850000,14800000,14850000,1
chr21,chr21,14800000,14850000,15100000,15150000,1
chr21,chr21,14800000,14850000,15150000,15200000,1
chr21,chr21,14800000,14850000,16600000,16650000,1
chr21,chr21,14800000,14850000,16800000,16850000,1
chr21,chr21,14800000,14850000,17500000,17550000,1
chr21,chr21,14800000,14850000,17600000,17650000,1
chr21,chr21,14800000,14850000,18350000,18400000,1
chr21,chr21,14800000,14850000,18400000,18450000,1
chr21,chr21,14800000,14850000,19350000,19400000,1
chr21,chr21,14850000,14900000,14850000,14900000,1
chr21,chr21,14850000,14900000,17500000,17550000,1
chr21,chr21,14900000,14950000,14900000,14950000,1
chr21,chr21,14950000,15000000,14950000,15000000,1
chr21,chr21,15000000,15050000,15000000,15050000,1
chr21,chr21,15000000,15050000,15600000,15650000,1
chr21,chr21,15000000,15050000,16950000,17000000,1
chr21,chr21,15000000,15050000,17450000,17500000,1
chr21,chr21,15000000,15050000,17650000,17700000,1
chr21,chr21,15000000,15050000,17750000,17800000,1
chr21,chr21,15000000,15050000,17850000,17900000,1
chr21,chr21,15050000,15100000,15050000,15100000,1
chr21,chr21,15100000,15150000,14800000,14850000,1
chr21,chr21,15100000,15150000,15100000,15150000,1
chr21,chr21,15100000,15150000,15150000,15200000,1
chr21,chr21,15100000,15150000,16550000,16600000,1
chr21,chr21,15100000,15150000,16600000,16650000,1
chr21,chr21,15100000,15150000,16800000,16850000,1
chr21,chr21,15100000,15150000,16950000,17000000,1
chr21,chr21,15100000,15150000,17500000,17550000,1
chr21,chr21,15100000,15150000,17600000,17650000,1
chr21,chr21,15100000,15150000,18400000,18450000,1
chr21,chr21,15150000,15200000,14700000,14750000,1
chr21,chr21,15150000,15200000,14800000,14850000,1
chr21,chr21,15150000,15200000,15100000,15150000,1
chr21,chr21,15150000,15200000,15150000,15200000,1
chr21,chr21,15150000,15200000,15250000,15300000,1
chr21,chr21,15150000,15200000,16550000,16600000,1
chr21,chr21,15150000,15200000,16600000,16650000,1
chr21,chr21,15150000,15200000,16800000,16850000,1
chr21,chr21,15150000,15200000,17600000,17650000,1
chr21,chr21,15150000,15200000,18400000,18450000,1
chr21,chr21,15150000,15200000,19350000,19400000,1
chr21,chr21,15200000,15250000,15200000,15250000,1
chr21,chr21,15200000,15250000,16550000,16600000,1
chr21,chr21,15200000,15250000,16750000,16800000,1
chr21,chr21,15200000,15250000,17400000,17450000,1
chr21,chr21,15200000,15250000,17550000,17600000,1
chr21,chr21,15200000,15250000,19000000,19050000,1
chr21,chr21,15250000,15300000,14700000,14750000,1
chr21,chr21,15250000,15300000,15150000,15200000,1
chr21,chr21,15250000,15300000,15250000,15300000,1
chr21,chr21,15250000,15300000,16600000,16650000,1
chr21,chr21,15250000,15300000,18350000,18400000,1
