chr1,chr2,start1,end1,start2,end2,count
chr2,chr2,0,50000,0,50000,1
chr2,chr2,250000,300000,250000,300000,1
chr2,chr2,500000,550000,500000,550000,1
chr2,chr2,750000,800000,750000,800000,1
chr2,chr2,1000000,1050000,1000000,1050000,1
chr2,chr2,1000000,1050000,31250000,31300000,1
chr2,chr2,1250000,1300000,1250000,1300000,1
chr2,chr2,1500000,1550000,1500000,1550000,1
chr2,chr2,1500000,1550000,8500000,8550000,1
chr2,chr2,1500000,1550000,31250000,31300000,1
chr2,chr2,1750000,1800000,1750000,1800000,1
chr2,chr2,1750000,1800000,4500000,4550000,1
chr2,chr2,2000000,2050000,2000000,2050000,1
chr2,chr2,2000000,2050000,3750000,3800000,1
chr2,chr2,2250000,2300000,2250000,2300000,1
chr2,chr2,2250000,2300000,14750000,14800000,1
chr2,chr2,2500000,2550000,2500000,2550000,1
chr2,chr2,2750000,2800000,2750000,2800000,1
chr2,chr2,3000000,3050000,3000000,3050000,1
chr2,chr2,3250000,3300000,3250000,3300000,1
chr2,chr2,3250000,3300000,14000000,14050000,1
chr2,chr2,3500000,3550000,3500000,3550000,1
chr2,chr2,3500000,3550000,177000000,177050000,1
chr2,chr2,3750000,3800000,2000000,2050000,1
chr2,chr2,3750000,3800000,3750000,3800000,1
chr2,chr2,3750000,3800000,38250000,38300000,1
chr2,chr2,4000000,4050000,4000000,4050000,1
chr2,chr2,4000000,4050000,40250000,40300000,1
chr2,chr2,4250000,4300000,4250000,4300000,1
chr2,chr2,4250000,4300000,9750000,9800000,1
chr2,chr2,4500000,4550000,1750000,1800000,1
chr2,chr2,4500000,4550000,4500000,4550000,1
chr2,chr2,4500000,4550000,4750000,4800000,1
chr2,chr2,4750000,4800000,4500000,4550000,1
chr2,chr2,4750000,4800000,4750000,4800000,1
chr2,chr2,5000000,5050000,5000000,5050000,1
chr2,chr2,5000000,5050000,6000000,6050000,1
chr2,chr2,5000000,5050000,6250000,6300000,1
chr2,chr2,5250000,5300000,5250000,5300000,1
chr2,chr2,5250000,5300000,16250000,16300000,1
chr2,chr2,5250000,5300000,36000000,36050000,1
chr2,chr2,5500000,5550000,5500000,5550000,1
chr2,chr2,5750000,5800000,5750000,5800000,1
chr2,chr2,6000000,6050000,5000000,5050000,1
chr2,chr2,6000000,6050000,6000000,6050000,1
chr2,chr2,6250000,6300000,5000000,5050000,1
chr2,chr2,6250000,6300000,6250000,6300000,1
chr2,chr2,6500000,6550000,6500000,6550000,1
chr2,chr2,6750000,6800000,6750000,6800000,1
chr2,chr2,7000000,7050000,7000000,7050000,1
chr2,chr2,7250000,7300000,7250000,7300000,1
chr2,chr2,7250000,7300000,23250000,23300000,1
