chr1,chr2,start1,end1,start2,end2,count
chr21,chr21,10400000,10450000,10400000,10450000,1
chr21,chr21,10500000,10550000,10500000,10550000,1
chr21,chr21,10600000,10650000,10600000,10650000,1
chr21,chr21,13250000,13300000,13250000,13300000,1
chr21,chr21,13250000,13300000,14000000,14050000,1
chr21,chr21,13250000,13300000,14050000,14100000,1
chr21,chr21,13250000,13300000,23800000,23850000,1
chr21,chr21,14000000,14050000,13250000,13300000,1
chr21,chr21,14000000,14050000,14000000,14050000,1
chr21,chr21,14000000,14050000,14050000,14100000,1
chr21,chr21,14000000,14050000,14100000,14150000,1
chr21,chr21,14050000,14100000,13250000,13300000,1
chr21,chr21,14050000,14100000,14000000,14050000,1
chr21,chr21,14050000,14100000,14050000,14100000,1
chr21,chr21,14050000,14100000,14100000,14150000,1
chr21,chr21,14050000,14100000,27950000,28000000,1
chr21,chr21,14100000,14150000,14000000,14050000,1
chr21,chr21,14100000,14150000,14050000,14100000,1
chr21,chr21,14100000,14150000,14100000,14150000,1
chr21,chr21,14150000,14200000,14150000,14200000,1
chr21,chr21,14150000,14200000,14200000,14250000,1
chr21,chr21,14150000,14200000,24400000,24450000,1
chr21,chr21,14150000,14200000,26700000,26750000,1
chr21,chr21,14150000,14200000,27500000,27550000,1
chr21,chr21,14150000,14200000,27600000,27650000,1
chr21,chr21,14150000,14200000,30250000,30300000,1
chr21,chr21,14200000,14250000,14150000,14200000,1
chr21,chr21,14200000,14250000,14200000,14250000,1
chr21,chr21,14200000,14250000,25250000,25300000,1
chr21,chr21,14200000,14250000,26700000,26750000,1
chr21,chr21,14200000,14250000,27500000,27550000,1
chr21,chr21,14250000,14300000,14250000,14300000,1
chr21,chr21,14250000,14300000,22600000,22650000,1
chr21,chr21,14250000,14300000,22750000,22800000,1
chr21,chr21,14250000,14300000,23300000,23350000,1
chr21,chr21,14250000,14300000,25300000,25350000,1
chr21,chr21,14300000,14350000,14300000,14350000,1
chr21,chr21,14300000,14350000,25450000,25500000,1
chr21,chr21,14300000,14350000,27100000,27150000,1
chr21,chr21,14350000,14400000,14350000,14400000,1
chr21,chr21,14350000,14400000,14450000,14500000,1
chr21,chr21,14350000,14400000,14700000,14750000,1
chr21,chr21,14350000,14400000,14850000,14900000,1
chr21,chr21,14350000,14400000,14900000,14950000,1
chr21,chr21,14350000,14400000,27000000,27050000,1
chr21,chr21,14350000,14400000,27300000,27350000,1
chr21,chr21,14400000,14450000,14400000,14450000,1
